i,j,val
1,1,       -6.4035913923
1,2,       -1.4099258736
1,3,       -4.1757237613
1,4,        3.2528757600
1,5,        0.7072102332
1,6,       -0.0218826495
1,7,       -0.0462296444
1,8,       -0.1065497474
1,9,        0.0569245612
1,10,       -0.0002089546
1,11,        0.0022705934
1,12,       -0.8157921629
1,13,        1.1584492576
1,14,       -0.0213847693
1,15,        0.0498203109
1,16,       -0.6058704104
1,17,       -0.1783885848
1,18,       -0.1782656677
1,19,        0.0195984974
1,20,       -0.0331614013
1,21,        0.0011354255
2,1,       -1.4099258736
2,2,      -23.5525392451
2,3,       -5.7163655699
2,4,       -0.1170125618
2,5,        0.0211065783
2,6,       -0.0090271172
2,7,       -0.0000000005
2,8,       -0.0002999627
2,9,        0.0008044186
2,10,       -0.0001087904
2,11,        0.0000544023
2,12,       -1.1542723750
2,13,        1.9276162471
2,14,       -0.2605656165
2,15,        0.1303365194
2,16,       -1.4607342586
2,17,       -0.0510414591
2,18,       -0.0313617846
2,19,        0.3362325551
2,20,       -0.1681750782
2,21,        0.0227361422
3,1,       -4.1757237613
3,2,       -5.7163655699
3,3,      -10.4748542053
3,4,       -1.3504448844
3,5,        0.2367715894
3,6,       -0.1027441997
3,7,       -0.8039776088
3,8,       -1.7153433969
3,9,        0.7567805273
3,10,       -0.1022146000
3,11,        0.0511524568
3,12,       -4.6998532341
3,13,        5.4916071413
3,14,       -0.7373204798
3,15,        0.3702612579
3,16,       -4.9190248651
3,17,       -1.9423375258
3,18,       -1.9011851469
3,19,        0.7061538522
3,20,       -0.3542773444
3,21,        0.0476912967
4,1,        3.2528757600
4,2,       -0.1170125618
4,3,       -1.3504448844
4,4,      -10.1061998630
4,5,        0.1011680150
4,6,       -0.0618660459
4,7,       -1.3294105128
4,8,       -2.8129968789
4,9,        1.1832972934
4,10,       -0.2056322828
4,11,        0.1028878323
4,12,       -4.3716394351
4,13,        4.0713265760
4,14,       -0.8817408095
4,15,        0.4412670045
4,16,       -5.5295676536
4,17,       -2.6083720159
4,18,       -2.5286430026
4,19,        1.0365361796
4,20,       -0.5192424092
4,21,        0.0922856622
5,1,        0.7072102332
5,2,        0.0211065783
5,3,        0.2367715894
5,4,        0.1011680150
5,5,       -9.0907924943
5,6,        0.0083687074
5,7,        0.1798316422
5,8,        0.3805700413
5,9,       -0.2059265888
5,10,       -0.3108608141
5,11,       -0.0139205466
5,12,        0.6010387204
5,13,       -0.8972994466
5,14,       -2.3367954346
5,15,       -0.0604675159
5,16,        1.1352401827
5,17,       -0.0266238435
5,18,        0.3427953799
5,19,        2.2580832032
5,20,        0.0930421771
5,21,        0.1524803456
6,1,       -0.0218826495
6,2,       -0.0090271172
6,3,       -0.1027441997
6,4,       -0.0618660459
6,5,        0.0083687074
6,6,       -9.0740536684
6,7,       -0.0899157040
6,8,       -0.1902699901
6,9,        0.1029498866
6,10,       -0.0139090352
6,11,       -0.3317220178
6,12,       -0.2977201289
6,13,        0.4445475360
6,14,       -0.0598589586
6,15,       -2.4271125038
6,16,       -0.5660105596
6,17,       -0.1765808565
6,18,        0.0193514376
6,19,        0.0925332711
6,20,        2.3971927339
6,21,       -0.3230371627
7,1,       -0.0462296444
