i,j,val
1,1,        1.0000000000
1,2,        0.0613335744
1,3,        0.4870047463
1,4,       -0.4572239049
1,5,       -0.0848176395
1,6,        0.0000000000
1,7,        0.0004071671
1,8,        0.0036580414
1,9,       -0.0024316534
1,10,        0.0000000000
1,11,       -0.0000951112
1,12,        0.0820051223
1,13,       -0.1191419777
1,14,        0.0000000000
1,15,       -0.0046600944
1,16,        0.0478244284
1,17,        0.0152742892
1,18,        0.0153240873
1,19,        0.0000000000
1,20,        0.0022051767
1,21,        0.0000000000
2,1,        0.0613335744
2,2,        1.0000000000
2,3,        0.2483623970
2,4,        0.0000000000
2,5,        0.0000000000
2,6,        0.0000000000
2,7,        0.0000000000
2,8,        0.0000077033
2,9,       -0.0000220444
2,10,        0.0000029820
2,11,       -0.0000014910
2,12,        0.0494604554
2,13,       -0.0826418177
2,14,        0.0111790754
2,15,       -0.0055895377
2,16,        0.0619268402
2,17,        0.0020822595
2,18,        0.0012456580
2,19,       -0.0142827541
2,20,        0.0071413771
2,21,       -0.0009660242
3,1,        0.4870047463
3,2,        0.2483623970
3,3,        1.0000000000
3,4,        0.0000000000
3,5,       -0.0000000000
3,6,        0.0000000000
3,7,        0.0070866308
3,8,        0.0580565128
3,9,       -0.0321712716
3,10,        0.0043518533
3,11,       -0.0021759267
3,12,        0.4119993024
3,13,       -0.4864557744
3,14,        0.0658035594
3,15,       -0.0329017797
3,16,        0.3926982839
3,17,        0.1620532466
3,18,        0.1588289283
3,19,       -0.0550466946
3,20,        0.0275233473
3,21,       -0.0037231221
4,1,       -0.4572239049
4,2,        0.0000000000
4,3,        0.0000000000
4,4,        1.0000000000
4,5,        0.0000000000
4,6,        0.0000000000
4,7,        0.0117184654
4,8,        0.0950881391
4,9,       -0.0502838906
4,10,        0.0088130927
4,11,       -0.0044065464
4,12,        0.3480149435
4,13,       -0.3184504225
4,14,        0.0771766870
4,15,       -0.0385883435
4,16,        0.4425064279
4,17,        0.2131385243
4,18,        0.2062227732
4,19,       -0.0869843937
4,20,        0.0434921968
4,21,       -0.0079856215
5,1,       -0.0848176395
