i,j,val
1,1,        0.7600318799
1,2,       -0.0107457777
1,3,        0.1047434002
1,4,       -0.2528569044
1,5,       -0.0469063965
1,6,        0.0000000000
1,7,       -0.0003323145
1,8,       -0.0025590504
1,9,        0.0009933559
1,10,        0.0000000000
1,11,        0.0000388539
1,12,       -0.0129410662
1,13,        0.0061236466
1,14,        0.0000000000
1,15,        0.0002395190
1,16,       -0.0144068701
1,17,       -0.0082436173
1,18,       -0.0082530463
1,19,        0.0000000000
1,20,       -0.0004175423
1,21,        0.0000000000
2,1,       -0.0107457777
2,2,       15.8911218155
2,3,       -0.0858899942
2,4,        0.0000000000
2,5,        0.0000000000
2,6,        0.0000000000
2,7,       -0.0000000004
2,8,       -0.0001876664
2,9,        0.0004813658
2,10,       -0.0000651150
2,11,        0.0000325575
2,12,       -0.0000184490
2,13,       -0.0077729666
2,14,        0.0010514602
2,15,       -0.0005257301
2,16,       -0.0366621754
2,17,       -0.0104762152
2,18,       -0.0101101468
2,19,        0.0062496491
2,20,       -0.0031248246
2,21,        0.0004226994
3,1,        0.1047434002
3,2,       -0.0858899942
3,3,        0.4722499926
3,4,        0.0000000000
3,5,       -0.0000000000
3,6,        0.0000000000
3,7,       -0.0020637087
3,8,       -0.0144815565
3,9,        0.0002995851
3,10,       -0.0000405253
3,11,        0.0000202627
3,12,        0.0579221838
3,13,       -0.1694283169
3,14,        0.0229188077
3,15,       -0.0114594038
3,16,        0.1406328868
3,17,       -0.0261266772
3,18,       -0.0284579041
3,19,       -0.0397995244
3,20,        0.0198997622
3,21,       -0.0026918689
4,1,       -0.2528569044
4,2,        0.0000000000
4,3,        0.0000000000
4,4,        1.4777280907
4,5,        0.0000000000
4,6,        0.0000000000
4,7,       -0.0032051744
4,8,       -0.0155940967
4,9,       -0.0035267663
4,10,        0.0001249158
4,11,       -0.0000624579
4,12,        0.1325205397
4,13,       -0.2867412253
4,14,        0.0501891889
4,15,       -0.0250945944
4,16,        0.4080817336
4,17,        0.0053346680
4,18,       -0.0027208819
4,19,       -0.1172030562
4,20,        0.0586015281
4,21,       -0.0093017478
5,1,       -0.0469063965
5,2,        0.0000000000
5,3,       -0.0000000000
5,4,        0.0000000000
5,5,        1.4777280907
5,6,        0.0000000000
5,7,        0.0004335685
5,8,        0.0021094355
5,9,        0.0001249158
5,10,       -0.0026202184
5,11,        0.0000084488
5,12,       -0.0179262405
5,13,        0.0501891889
5,14,        0.0774954493
5,15,        0.0033945812
5,16,       -0.0786700676
5,17,        0.0227466472
5,18,        0.0003680575
5,19,       -0.1316434953
5,20,       -0.0093017478
5,21,       -0.0089038007
6,1,        0.0000000000
6,2,        0.0000000000
6,3,        0.0000000000
6,4,        0.0000000000
6,5,        0.0000000000
6,6,        1.4777280907
6,7,       -0.0002167842
6,8,       -0.0010547177
6,9,       -0.0000624579
6,10,        0.0000084488
6,11,       -0.0026075452
6,12,        0.0089631203
6,13,       -0.0250945944
6,14,        0.0033945812
6,15,        0.0825873211
6,16,        0.0393350338
6,17,        0.0003608140
6,18,       -0.0119181664
6,19,       -0.0093017478
6,20,       -0.1455961170
6,21,        0.0196949923
7,1,       -0.0003323145
7,2,       -0.0000000004
7,3,       -0.0020637087
7,4,       -0.0032051744
7,5,        0.0004335685
7,6,       -0.0002167842
7,7,      103.9260553767
7,8,        0.0073172479
7,9,        0.0000000000
7,10,        0.0000000000
7,11,       -0.0000000000
7,12,       -0.1595292060
7,13,       -0.0000000000
7,14,        0.0000000000
7,15,       -0.0000000000
7,16,       -0.1318739615
7,17,       -0.1318739615
7,18,       -0.1318739615
7,19,        0.0000000000
7,20,       -0.0000000000
7,21,        0.0000000000
8,1,       -0.0025590504
8,2,       -0.0001876664
8,3,       -0.0144815565
8,4,       -0.0155940967
8,5,        0.0021094355
8,6,       -0.0010547177
8,7,        0.0073172479
8,8,        4.5009491671
8,9,        0.0000000000
8,10,        0.0000000000
8,11,        0.0000000000
8,12,       -0.3156384490
8,13,       -0.0000000000
8,14,        0.0000000000
8,15,       -0.0000000000
8,16,       -0.3797957463
8,17,       -0.3797957463
8,18,       -0.3797957463
8,19,        0.0000000000
8,20,        0.0000000000
8,21,        0.0000000000
9,1,        0.0009933559
9,2,        0.0004813658
9,3,        0.0002995851
9,4,       -0.0035267663
9,5,        0.0001249158
9,6,       -0.0000624579
9,7,        0.0000000000
9,8,        0.0000000000
9,9,       14.0840214364
9,10,        0.0000000000
9,11,       -0.0000000000
9,12,       -0.0000000000
9,13,        0.3717766995
9,14,        0.0000000000
9,15,       -0.0000000000
9,16,       -0.0000000000
9,17,       -0.0000000000
9,18,       -0.0000000000
9,19,        0.0000000000
9,20,       -0.0000000000
9,21,        0.0000000000
10,1,        0.0000000000
10,2,       -0.0000651150
10,3,       -0.0000405253
10,4,        0.0001249158
10,5,       -0.0026202184
10,6,        0.0000084488
10,7,        0.0000000000
10,8,        0.0000000000
10,9,        0.0000000000
10,10,       14.0840214364
10,11,        0.0000000000
10,12,        0.0000000000
10,13,        0.0000000000
10,14,        0.3717766995
10,15,        0.0000000000
10,16,        0.0000000000
10,17,        0.0000000000
10,18,        0.0000000000
10,19,       -0.0000000000
10,20,        0.0000000000
10,21,       -0.0000000000
11,1,        0.0000388539
11,2,        0.0000325575
11,3,        0.0000202627
11,4,       -0.0000624579
11,5,        0.0000084488
11,6,       -0.0026075452
11,7,       -0.0000000000
11,8,        0.0000000000
11,9,       -0.0000000000
11,10,        0.0000000000
11,11,       14.0840214364
11,12,        0.0000000000
11,13,       -0.0000000000
11,14,        0.0000000000
11,15,        0.3717766995
11,16,       -0.0000000000
11,17,       -0.0000000000
11,18,        0.0000000000
11,19,        0.0000000000
11,20,       -0.0000000000
11,21,        0.0000000000
12,1,       -0.0129410662
12,2,       -0.0000184490
12,3,        0.0579221838
12,4,        0.1325205397
12,5,       -0.0179262405
12,6,        0.0089631203
12,7,       -0.1595292060
12,8,       -0.3156384490
12,9,       -0.0000000000
12,10,        0.0000000000
12,11,        0.0000000000
12,12,        0.3005756256
12,13,        0.0000000000
12,14,        0.0000000000
12,15,        0.0000000000
12,16,        0.2903436437
12,17,        0.2903436437
12,18,        0.2903436437
12,19,        0.0000000000
12,20,        0.0000000000
12,21,        0.0000000000
13,1,        0.0061236466
13,2,       -0.0077729666
13,3,       -0.1694283169
13,4,       -0.2867412253
13,5,        0.0501891889
13,6,       -0.0250945944
13,7,       -0.0000000000
13,8,       -0.0000000000
13,9,        0.3717766995
13,10,        0.0000000000
13,11,       -0.0000000000
13,12,        0.0000000000
13,13,        0.7030910292
13,14,        0.0000000000
13,15,        0.0000000000
13,16,        0.0000000000
13,17,        0.0000000000
13,18,        0.0000000000
13,19,        0.0000000000
13,20,       -0.0000000000
13,21,        0.0000000000
14,1,        0.0000000000
