I,J,i,j,val
        38,        38,7,         7,        2.0000000000
        39,        39,7,         7,        2.0000000000
        40,        40,7,         7,        2.0000000000
        41,        41,7,         7,        2.0000000000
        42,        42,7,         7,        2.0000000000
        43,        43,7,         7,        2.0000000000
        44,        44,7,         7,        2.0000000000
        45,        45,7,         7,        2.0000000000
        46,        46,7,         7,        2.0000000000
        47,        47,7,         7,        2.0000000000
        48,        48,7,         7,        2.0000000000
        49,        49,7,         7,        2.0000000000
        50,        50,7,         7,        2.0000000000
        51,        51,7,         7,        2.0000000000
        52,        52,7,         7,        2.0000000000
        53,        53,7,         7,        2.0000000000
        54,        54,7,         7,        2.0000000000
        55,        55,7,         7,        2.0000000000
        19,        19,7,         7,        1.0000000000
        20,        20,7,         7,        1.0000000000
        21,        21,7,         7,        1.0000000000
        22,        22,7,         7,        1.0000000000
        23,        23,7,         7,        1.0000000000
        24,        24,7,         7,        1.0000000000
        25,        25,7,         7,        1.0000000000
        26,        26,7,         7,        1.0000000000
        27,        27,7,         7,        1.0000000000
        28,        28,7,         7,        1.0000000000
        29,        29,7,         7,        1.0000000000
        30,        30,7,         7,        1.0000000000
        31,        31,7,         7,        1.0000000000
        32,        32,7,         7,        1.0000000000
        33,        33,7,         7,        1.0000000000
        34,        34,7,         7,        1.0000000000
        35,        35,7,         7,        1.0000000000
        36,        36,7,         7,        1.0000000000
        37,        37,7,         7,        1.0000000000
        51,        51,9,         9,        2.0000000000
        52,        52,9,         9,        2.0000000000
        53,        53,9,         9,        2.0000000000
        54,        54,9,         9,        2.0000000000
        55,        55,9,         9,        2.0000000000
        46,        46,9,         9,        1.0000000000
        47,        47,9,         9,        1.0000000000
        48,        48,9,         9,        1.0000000000
        49,        49,9,         9,        1.0000000000
        50,        50,9,         9,        1.0000000000
        33,        33,9,         9,        2.0000000000
        34,        34,9,         9,        2.0000000000
        35,        35,9,         9,        2.0000000000
        36,        36,9,         9,        2.0000000000
        37,        37,9,         9,        2.0000000000
        11,        11,9,         9,        2.0000000000
        12,        12,9,         9,        2.0000000000
        13,        13,9,         9,        2.0000000000
        14,        14,9,         9,        2.0000000000
        15,        15,9,         9,        2.0000000000
        16,        16,9,         9,        2.0000000000
        17,        17,9,         9,        2.0000000000
        18,        18,9,         9,        2.0000000000
        29,        29,9,         9,        1.0000000000
        30,        30,9,         9,        1.0000000000
        31,        31,9,         9,        1.0000000000
        32,        32,9,         9,        1.0000000000
        24,        24,9,         9,        1.0000000000
        25,        25,9,         9,        1.0000000000
        26,        26,9,         9,        1.0000000000
        27,        27,9,         9,        1.0000000000
        28,        28,9,         9,        1.0000000000
         6,         6,9,         9,        1.0000000000
         7,         7,9,         9,        1.0000000000
         8,         8,9,         9,        1.0000000000
         9,         9,9,         9,        1.0000000000
        10,        10,9,         9,        1.0000000000
        55,        55,8,         8,        2.0000000000
        54,        54,8,         8,        1.0000000000
        50,        50,8,         8,        2.0000000000
        37,        37,8,         8,        2.0000000000
        43,        43,8,         8,        2.0000000000
        44,        44,8,         8,        2.0000000000
        45,        45,8,         8,        2.0000000000
        16,        16,8,         8,        2.0000000000
        17,        17,8,         8,        2.0000000000
        18,        18,8,         8,        2.0000000000
        49,        49,8,         8,        1.0000000000
        36,        36,8,         8,        1.0000000000
        32,        32,8,         8,        2.0000000000
        48,        48,8,         8,        1.0000000000
        35,        35,8,         8,        1.0000000000
        28,        28,8,         8,        2.0000000000
         9,         9,8,         8,        2.0000000000
        10,        10,8,         8,        2.0000000000
        22,        22,8,         8,        2.0000000000
        23,        23,8,         8,        2.0000000000
        41,        41,8,         8,        1.0000000000
        42,        42,8,         8,        1.0000000000
        14,        14,8,         8,        1.0000000000
        15,        15,8,         8,        1.0000000000
        30,        30,8,         8,        1.0000000000
        31,        31,8,         8,        1.0000000000
        26,        26,8,         8,        1.0000000000
        27,        27,8,         8,        1.0000000000
         3,         3,8,         8,        2.0000000000
         4,         4,8,         8,        2.0000000000
         5,         5,8,         8,        2.0000000000
        21,        21,8,         8,        1.0000000000
         8,         8,8,         8,        1.0000000000
        25,        25,8,         8,        1.0000000000
        20,        20,8,         8,        1.0000000000
         7,         7,8,         8,        1.0000000000
         2,         2,8,         8,        1.0000000000
        54,        54,5,         5,        1.0000000000
        53,        53,5,         5,        2.0000000000
        45,        45,5,         5,        2.0000000000
        18,        18,5,         5,        2.0000000000
        54,        55,5,         8,        1.4142135624
        53,        54,5,         8,        1.4142135624
        49,        49,5,         5,        1.0000000000
        48,        48,5,         5,        1.0000000000
        47,        47,5,         5,        2.0000000000
        10,        10,5,         5,        2.0000000000
        48,        50,5,         8,        1.2247448714
        47,        49,5,         8,        0.7071067812
        49,        50,5,         8,        0.7071067812
        47,        48,5,         8,        1.2247448714
        36,        36,5,         5,        1.0000000000
        35,        35,5,         5,        1.0000000000
        34,        34,5,         5,        2.0000000000
        23,        23,5,         5,        2.0000000000
        35,        37,5,         8,        1.2247448714
        34,        36,5,         8,        0.7071067812
        36,        37,5,         8,        0.7071067812
        34,        35,5,         8,        1.2247448714
        41,        41,5,         5,        1.0000000000
        42,        42,5,         5,        1.0000000000
        14,        14,5,         5,        1.0000000000
        15,        15,5,         5,        1.0000000000
        39,        39,5,         5,        2.0000000000
        40,        40,5,         5,        2.0000000000
        12,        12,5,         5,        2.0000000000
        13,        13,5,         5,        2.0000000000
         4,         4,5,         5,        2.0000000000
         5,         5,5,         5,        2.0000000000
        41,        43,5,         8,        1.4142135624
        42,        44,5,         8,        1.4142135624
