i,j,val
1,1,        0.9810623330
1,2,       -0.0429138901
2,1,       -0.0996958059
2,2,        0.0160880756
3,1,       -0.0636212738
3,2,        0.0033961362
4,1,       -0.0080246304
4,2,        0.0005191792
5,1,       -0.0075106950
5,2,       -0.0010761357
6,1,        0.0996958058
6,2,       -0.0160880756
7,1,        0.0607791612
7,2,       -0.0028383375
8,1,        0.0555966434
8,2,       -0.0028769570
9,1,       -0.0093012288
9,2,        0.0022687518
10,1,       -0.0001277068
10,2,       -0.0000616511
11,1,       -0.0080246304
11,2,        0.0005191792
12,1,       -0.0636212738
12,2,        0.0033961362
13,1,       -0.0075106950
13,2,       -0.0010761357
14,1,        0.0093012288
14,2,       -0.0022687518
15,1,       -0.0001277068
15,2,       -0.0000616511
16,1,        0.0097606620
16,2,       -0.0007987002
17,1,        0.0005215347
17,2,        0.0000728720
18,1,        0.0005215347
18,2,        0.0000728720
19,1,        0.0445964175
19,2,        0.9876674517
20,1,        0.0076024762
20,2,        0.0507597348
21,1,        0.0074827753
21,2,        0.0502298857
22,1,       -0.0021040810
22,2,       -0.0532609213
23,1,       -0.0002147311
23,2,       -0.0062727114
24,1,       -0.0076024762
24,2,       -0.0507597347
25,1,        0.0021989187
25,2,        0.0469330331
26,1,        0.0016658093
26,2,        0.0422797823
27,1,        0.0003871837
27,2,        0.0081552358
28,1,        0.0015633295
28,2,        0.0139756308
29,1,       -0.0074827753
29,2,       -0.0502298857
30,1,        0.0003871837
30,2,        0.0081552358
31,1,        0.0012187281
31,2,        0.0328629272
32,1,        0.0010780559
32,2,        0.0090326778
33,1,       -0.0002147311
33,2,       -0.0062727114
34,1,       -0.0021040810
34,2,       -0.0532609213
35,1,       -0.0015633295
35,2,       -0.0139756308
36,1,       -0.0010780559
36,2,       -0.0090326778
37,1,       -0.0000346537
37,2,        0.0038963766
38,1,       -0.0010073105
38,2,       -0.0009112076
39,1,       -0.0010073105
39,2,       -0.0009112076
40,1,       -0.0017556292
40,2,       -0.0187061421
41,1,       -0.0002172773
41,2,       -0.0001753111
42,1,       -0.0000069701
42,2,        0.0023704652
43,1,        0.0000290751
43,2,        0.0000316915
44,1,        0.0001522547
44,2,        0.0018095691
45,1,        0.0000171973
45,2,        0.0001608739
46,1,       -0.0002172773
46,2,       -0.0001753111
47,1,        0.0000069701
47,2,       -0.0023704652
48,1,       -0.0001752620
48,2,       -0.0021549456
49,1,       -0.0001350574
49,2,       -0.0016486952
50,1,       -0.0000376965
50,2,       -0.0000942944
51,1,        0.0000290751
51,2,        0.0000316915
52,1,        0.0000171973
52,2,        0.0001608739
53,1,        0.0001522547
53,2,        0.0018095691
54,1,        0.0000376965
54,2,        0.0000942944
55,1,       -0.0000181461
55,2,       -0.0002791636
