i,j,val
1,1,        1.0008610271
1,2,       -0.0006551452
1,3,       -0.0032039586
1,4,        0.0000000000
1,5,        0.0000000000
1,6,       -0.0075928589
1,7,       -0.0004258428
1,8,        0.0000000000
1,9,        0.0000000000
1,10,        0.0000000000
1,11,        0.0000000000
1,12,       -0.0006783522
1,13,        0.0018445432
1,14,        0.0096110682
1,15,        0.0000000000
1,16,        0.0000000000
1,17,        0.0047792311
1,18,        0.0000000000
1,19,        0.0000000000
1,20,        0.0000000000
1,21,        0.0000000000
1,22,       -0.0179580151
1,23,        0.0139082484
1,24,        0.0000000000
1,25,        0.0000000000
1,26,       -0.0019586068
1,27,        0.0000000000
1,28,        0.0000000000
1,29,        0.0000000000
1,30,        0.0000000000
1,31,        0.0641514812
1,32,        0.0000000000
1,33,        0.0000000000
1,34,       -0.0333499597
1,35,        0.0000000000
1,36,        0.0000000000
1,37,        0.0000000000
1,38,        0.0000000000
1,39,        0.0408345713
1,40,       -0.0990398659
1,41,       -0.8163173133
1,42,        0.0000000000
1,43,        0.0000000001
1,44,       -0.0393788717
1,45,        0.0000000000
1,46,        0.0000000000
2,1,        0.0008412143
2,2,        0.0132316962
2,3,        0.5024059958
2,4,        0.0000000000
2,5,        0.0000000000
2,6,       -0.0396798894
2,7,       -0.0361519445
2,8,        0.0000000000
2,9,        0.0000000000
2,10,        0.0000000000
2,11,        0.0000000000
2,12,        0.0074795849
2,13,        0.0024668159
2,14,        0.0575967577
2,15,        0.0000000000
2,16,        0.0000000000
2,17,       -0.0073757889
2,18,        0.0000000000
2,19,        0.0000000000
2,20,        0.0000000000
2,21,        0.0000000000
2,22,       -0.0357289632
2,23,       -0.1032932626
2,24,        0.0000000000
2,25,        0.0000000000
2,26,       -0.0394989602
2,27,        0.0000000000
2,28,        0.0000000000
2,29,        0.0000000000
2,30,        0.0000000000
2,31,       -0.0141783809
2,32,        0.0000000000
2,33,        0.0000000000
2,34,       -0.0976316595
2,35,        0.0000000000
2,36,        0.0000000000
2,37,        0.0000000000
2,38,        0.0000000000
2,39,        0.1106679478
2,40,       -0.2334528705
2,41,       -1.8544329301
2,42,        0.0000000000
2,43,        0.0000000002
2,44,       -0.0824921514
2,45,        0.0000000000
2,46,        0.0000000000
3,1,       -0.0043412129
3,2,        0.0142329701
3,3,        0.5639196129
3,4,        0.0000000000
3,5,        0.0000000000
3,6,       -0.0095996382
3,7,       -0.0888768356
3,8,        0.0000000000
3,9,        0.0000000000
3,10,        0.0000000000
3,11,        0.0000000000
3,12,        0.0285807473
3,13,       -0.0221447561
3,14,        0.0225322991
3,15,        0.0000000000
3,16,        0.0000000000
3,17,       -0.0831933982
3,18,        0.0000000000
3,19,        0.0000000000
3,20,        0.0000000000
3,21,        0.0000000000
3,22,        0.1886375713
3,23,       -0.5276776108
3,24,        0.0000000000
3,25,        0.0000000000
3,26,       -0.0477254432
3,27,        0.0000000000
3,28,        0.0000000000
3,29,        0.0000000000
3,30,        0.0000000000
3,31,       -1.2792470149
3,32,        0.0000000000
3,33,        0.0000000000
3,34,       -0.0099989594
3,35,        0.0000000000
3,36,        0.0000000000
3,37,        0.0000000000
3,38,        0.0000000000
3,39,       -0.0124385285
3,40,        0.2071351115
3,41,        2.8454463219
3,42,        0.0000000000
3,43,       -0.0000000006
3,44,        0.2008308330
3,45,        0.0000000000
3,46,        0.0000000000
4,1,        0.0000000000
4,2,        0.0000000000
4,3,        0.0000000000
4,4,        0.0000000000
4,5,        0.6648424350
4,6,        0.0000000000
4,7,        0.0000000000
4,8,        0.8282731881
4,9,        0.0000000000
4,10,        0.0000000000
4,11,        0.0084689220
4,12,        0.0000000000
4,13,        0.0000000000
4,14,        0.0000000000
4,15,        0.0000000000
4,16,        0.0342202545
4,17,        0.0000000000
4,18,        0.0000000000
4,19,        0.0162992868
4,20,        0.0000000000
4,21,        0.0000000000
4,22,        0.0000000000
4,23,        0.0000000000
4,24,        0.0000000000
4,25,       -0.0456318316
4,26,        0.0000000000
4,27,        0.0000000000
4,28,        0.1001504061
4,29,        0.0000000000
4,30,        0.0000000000
4,31,        0.0000000000
4,32,        0.0000000000
4,33,       -0.5254149138
4,34,        0.0000000000
4,35,        0.0000000000
4,36,        0.0000000000
4,37,        0.0000000000
4,38,        0.0018648980
4,39,        0.0000000000
4,40,        0.0000000000
4,41,        0.0000000000
4,42,        0.0000000000
4,43,        0.0000000000
4,44,        0.0000000000
4,45,        0.0200075184
4,46,        0.0000000000
5,1,        0.0000000000
5,2,        0.0000000000
5,3,        0.0000000000
5,4,        0.6648424350
5,5,        0.0000000000
5,6,        0.0000000000
5,7,        0.0000000000
5,8,        0.0000000000
5,9,        0.8282731881
5,10,        0.0084689220
5,11,        0.0000000000
5,12,        0.0000000000
5,13,        0.0000000000
5,14,        0.0000000000
5,15,        0.0342202545
5,16,        0.0000000000
5,17,        0.0000000000
5,18,        0.0162992868
5,19,        0.0000000000
5,20,        0.0000000000
5,21,        0.0000000000
5,22,        0.0000000000
5,23,        0.0000000000
5,24,       -0.0456318316
5,25,        0.0000000000
5,26,        0.0000000000
5,27,        0.1001504061
5,28,        0.0000000000
5,29,        0.0000000000
5,30,        0.0000000000
5,31,        0.0000000000
5,32,       -0.5254149137
5,33,        0.0000000000
5,34,        0.0000000000
5,35,        0.0000000000
5,36,        0.0000000000
5,37,        0.0018648980
5,38,        0.0000000000
5,39,        0.0000000000
5,40,        0.0000000000
5,41,        0.0000000000
5,42,        0.0000000000
5,43,        0.0000000000
5,44,        0.0000000000
5,45,        0.0000000000
5,46,        0.0200075184
6,1,        0.0001602428
6,2,        0.0073278736
6,3,        0.0177867488
6,4,        0.0000000000
6,5,        0.0000000000
6,6,        0.6622891639
6,7,       -0.0314188318
6,8,        0.0000000000
6,9,        0.0000000000
6,10,        0.0000000000
6,11,        0.0000000000
6,12,       -0.0037674534
6,13,        0.0127249680
6,14,       -0.0095322570
6,15,        0.0000000000
6,16,        0.0000000000
6,17,       -0.0115364198
6,18,        0.0000000000
6,19,        0.0000000000
6,20,        0.0000000000
6,21,        0.0000000000
6,22,        0.0827515742
6,23,       -0.0019374447
6,24,        0.0000000000
6,25,        0.0000000000
6,26,       -0.1791873853
6,27,        0.0000000000
6,28,        0.0000000000
6,29,        0.0000000000
6,30,        0.0000000000
6,31,        0.0335971141
6,32,        0.0000000000
6,33,        0.0000000000
6,34,       -0.2586871812
6,35,        0.0000000000
6,36,        0.0000000000
6,37,        0.0000000000
6,38,        0.0000000000
6,39,       -0.6964090277
6,40,       -0.6309132998
6,41,        0.0274716484
6,42,        0.0000000000
6,43,        0.0000000000
6,44,       -0.0005312762
6,45,        0.0000000000
6,46,        0.0000000000
7,1,        0.0000000000
7,2,        0.0000000000
7,3,        0.0000000000
7,4,        0.0000000000
7,5,        0.4377510215
7,6,        0.0000000000
7,7,        0.0000000000
7,8,       -0.6728010160
7,9,        0.0000000000
7,10,        0.0000000000
7,11,       -0.0060782090
7,12,        0.0000000000
7,13,        0.0000000000
7,14,        0.0000000000
7,15,        0.0000000000
7,16,        0.0149167948
7,17,        0.0000000000
7,18,        0.0000000000
7,19,       -0.0564691395
7,20,        0.0000000000
7,21,        0.0000000000
7,22,        0.0000000000
7,23,        0.0000000000
7,24,        0.0000000000
7,25,       -0.1051822377
7,26,        0.0000000000
7,27,        0.0000000000
7,28,       -0.0550671540
7,29,        0.0000000000
7,30,        0.0000000000
7,31,        0.0000000000
7,32,        0.0000000000
7,33,        1.4284388226
7,34,        0.0000000000
7,35,        0.0000000000
7,36,        0.0000000000
7,37,        0.0000000000
7,38,        0.0928420194
7,39,        0.0000000000
7,40,        0.0000000000
7,41,        0.0000000000
7,42,        0.0000000000
7,43,        0.0000000000
7,44,        0.0000000000
7,45,       -0.0637877741
7,46,        0.0000000000
8,1,        0.0000000000
8,2,        0.0000000000
8,3,        0.0000000000
8,4,        0.4377510215
8,5,        0.0000000000
8,6,        0.0000000000
8,7,        0.0000000000
8,8,        0.0000000000
8,9,       -0.6728010161
8,10,       -0.0060782090
8,11,        0.0000000000
8,12,        0.0000000000
8,13,        0.0000000000
8,14,        0.0000000000
8,15,        0.0149167948
8,16,        0.0000000000
8,17,        0.0000000000
8,18,       -0.0564691395
8,19,        0.0000000000
8,20,        0.0000000000
8,21,        0.0000000000
8,22,        0.0000000000
8,23,        0.0000000000
8,24,       -0.1051822377
8,25,        0.0000000000
8,26,        0.0000000000
8,27,       -0.0550671540
8,28,        0.0000000000
8,29,        0.0000000000
8,30,        0.0000000000
8,31,        0.0000000000
8,32,        1.4284388226
8,33,        0.0000000000
8,34,        0.0000000000
8,35,        0.0000000000
8,36,        0.0000000000
8,37,        0.0928420192
8,38,        0.0000000000
8,39,        0.0000000000
8,40,        0.0000000000
8,41,        0.0000000000
8,42,        0.0000000000
8,43,        0.0000000000
8,44,        0.0000000000
8,45,        0.0000000000
8,46,       -0.0637877741
9,1,       -0.0001939052
9,2,        0.0050205303
9,3,        0.0254897161
9,4,        0.0000000000
9,5,        0.0000000000
9,6,        0.4562731073
9,7,       -0.0371279725
9,8,        0.0000000000
9,9,        0.0000000000
9,10,        0.0000000000
9,11,        0.0000000000
9,12,        0.0013972466
9,13,        0.0144242332
9,14,        0.0132217416
9,15,        0.0000000000
9,16,        0.0000000000
9,17,       -0.0700503784
9,18,        0.0000000000
9,19,        0.0000000000
9,20,        0.0000000000
9,21,        0.0000000000
9,22,        0.1408527287
9,23,        0.1526039152
9,24,        0.0000000000
9,25,        0.0000000000
9,26,       -0.4755598600
9,27,        0.0000000000
9,28,        0.0000000000
9,29,        0.0000000000
9,30,        0.0000000000
9,31,       -0.2457212312
9,32,        0.0000000000
9,33,        0.0000000000
9,34,        0.0673288458
9,35,        0.0000000000
9,36,        0.0000000000
9,37,        0.0000000000
9,38,        0.0000000000
9,39,        0.8077545304
9,40,        1.4411164697
9,41,       -0.0078509089
9,42,        0.0000000000
9,43,        0.0000000000
9,44,       -0.0043556725
9,45,        0.0000000000
9,46,        0.0000000000
10,1,        0.0000701534
10,2,       -0.0004979100
10,3,       -0.0004674685
10,4,        0.0000000000
10,5,        0.0000000000
10,6,       -0.0008083826
10,7,       -0.0007190664
10,8,        0.0000000000
10,9,        0.0000000000
10,10,        0.0000000000
10,11,        0.0000000000
10,12,        0.0000698720
10,13,        0.0004781517
10,14,       -0.0004208911
10,15,        0.0000000000
10,16,        0.0000000000
10,17,       -0.0024071007
10,18,        0.0000000000
10,19,        0.0000000000
10,20,        0.0000000000
10,21,       -0.0019036463
10,22,       -0.0020766441
10,23,        0.0001705327
10,24,        0.0000000000
10,25,        0.0000000000
10,26,       -0.0037812352
10,27,        0.0000000000
10,28,        0.0000000000
10,29,        0.0000000000
10,30,       -0.0066508116
10,31,        0.0014678384
10,32,        0.0000000000
10,33,        0.0000000000
10,34,        0.0130630475
10,35,        0.0000000000
10,36,        0.0208066442
10,37,        0.0000000000
10,38,        0.0000000000
10,39,        0.0031169623
