i,val
1,      -26.3407269321
2,       -2.4759547238
3,       -1.5548341945
4,       -0.6496397438
5,       -0.6496397438
6,       -0.5165402266
7,       -0.0220109688
8,        0.9672088314
9,        0.9672088315
10,        0.0140756678
11,        0.0140756678
12,        0.0144655594
13,        0.0259624393
14,        0.0728746291
15,        0.0770174819
16,        0.0770174820
17,        0.1825322713
18,        0.1835596645
19,        0.1835596645
20,        0.1920158088
21,        0.1920158088
22,        0.1995774165
23,        0.3109918738
24,        0.3336840240
25,        0.3336840240
26,        0.4133277653
27,        0.4608868977
28,        0.4608868977
29,        0.5305867682
30,        0.5305867682
31,        0.6169738685
32,        1.1482774364
33,        1.1482774365
34,        1.2854709343
35,        1.3802803844
36,        1.3802803844
37,        1.4795698315
38,        1.4795698315
39,        1.6285316650
40,        2.0333647617
41,        2.5315033618
42,        4.8616854154
43,        4.8616854154
44,        4.8700845322
45,        4.9264494050
46,        4.9264494050
