i,j,val
1,1,      -41.4147573695
1,2,        9.7549829939
1,3,       -7.5049320144
1,4,        0.0000000000
1,5,        0.0000000000
1,6,       -0.0244637968
1,7,        0.0000000000
1,8,        0.0000000000
1,9,       -0.0044791573
1,10,       -2.8090364112
1,11,       -2.8090364112
1,12,       -2.8107231724
1,13,        0.0000000000
1,14,        0.0000000000
1,15,        0.0000000000
1,16,       -2.8082451074
1,17,        0.0000000000
1,18,        0.0000000000
1,19,       -0.0009409705
1,20,       -0.4600968156
1,21,       -0.4600968156
1,22,       -0.4606599078
1,23,        0.0000000000
1,24,        0.0000000000
1,25,        0.0000000000
1,26,       -0.0344461886
1,27,       -1.2449762494
1,28,       -0.8609878403
1,29,        0.0000000000
1,30,        0.0000000000
1,31,        1.9601028849
1,32,        0.0000000000
1,33,        0.0000000000
1,34,        0.7374357137
1,35,       -0.0172800922
1,36,       -0.0172800922
1,37,       -2.6414326128
1,38,        0.0000000000
1,39,        0.0000000000
1,40,        0.0000000000
1,41,       -0.4237240382
1,42,        0.0000000000
1,43,        0.0000000000
1,44,        0.1477012345
1,45,       -0.0115669483
1,46,       -0.0115669483
1,47,       -1.7693208695
1,48,        0.0000000000
1,49,        0.0000000000
1,50,        0.0000000000
2,1,        9.7549829939
2,2,      -12.6115662744
2,3,       -6.1376313202
2,4,        0.0000000000
2,5,        0.0000000000
2,6,       -0.1333735113
2,7,        0.0000000000
2,8,        0.0000000000
2,9,       -0.0922851031
2,10,       -6.0626263710
2,11,       -6.0626263710
2,12,       -6.1009203120
2,13,        0.0000000000
2,14,        0.0000000000
2,15,        0.0000000000
2,16,       -3.1824264477
2,17,        0.0000000000
2,18,        0.0000000000
2,19,       -0.0246076412
2,20,       -2.6445422903
2,21,       -2.6445422903
2,22,       -2.6697762514
2,23,        0.0000000000
2,24,        0.0000000000
2,25,        0.0000000000
2,26,       -0.1031979518
2,27,       -1.4736804628
2,28,       -1.0745494606
2,29,        0.0000000000
2,30,        0.0000000000
2,31,        2.2751936048
2,32,        0.0000000000
2,33,        0.0000000000
2,34,        0.8997651506
2,35,       -0.1659971772
2,36,       -0.1659971772
2,37,       -2.8038468678
2,38,        0.0000000000
2,39,        0.0000000000
2,40,        0.0000000000
2,41,       -0.5383635210
2,42,        0.0000000000
2,43,        0.0000000000
2,44,        0.1863848768
2,45,       -0.1132151057
2,46,       -0.1132151057
2,47,       -1.9915421717
2,48,        0.0000000000
2,49,        0.0000000000
2,50,        0.0000000000
3,1,       -7.5049320144
3,2,       -6.1376313202
3,3,       -9.3808371938
3,4,        0.0000000000
3,5,        0.0000000000
3,6,       -0.1429503081
3,7,        0.0000000000
3,8,        0.0000000000
3,9,       -0.2647771770
3,10,       -6.4077722700
3,11,       -6.4077722700
3,12,       -6.4613366209
3,13,        0.0000000000
3,14,        0.0000000000
3,15,        0.0000000000
3,16,       -5.6534593579
3,17,        0.0000000000
3,18,        0.0000000000
3,19,       -0.1325435472
3,20,       -4.3125140412
3,21,       -4.3125140412
3,22,       -4.4332575906
3,23,        0.0000000000
3,24,        0.0000000000
3,25,        0.0000000000
3,26,       -0.5050282294
3,27,       -2.6652116826
3,28,       -2.1047087559
3,29,        0.0000000000
3,30,        0.0000000000
3,31,        4.0328148415
3,32,        0.0000000000
3,33,        0.0000000000
3,34,        1.7006671003
3,35,       -0.5560620831
3,36,       -0.5560620831
3,37,       -4.7265961171
3,38,        0.0000000000
3,39,        0.0000000000
3,40,        0.0000000000
3,41,       -1.0744455310
3,42,        0.0000000000
3,43,        0.0000000000
3,44,        0.3659591873
3,45,       -0.3955948886
3,46,       -0.3955948886
3,47,       -3.5091480524
3,48,        0.0000000000
3,49,        0.0000000000
3,50,        0.0000000000
4,1,        0.0000000000
4,2,        0.0000000000
4,3,        0.0000000000
4,4,      -10.4268066334
4,5,        0.0000000000
4,6,        0.0000000000
4,7,       -4.5473982201
4,8,        0.0000000000
4,9,        0.0000000000
4,10,        0.0000000000
4,11,        0.0000000000
4,12,        0.0000000000
4,13,        0.0000000000
4,14,       -0.1129807127
4,15,        0.0000000000
4,16,        0.0000000000
4,17,       -1.1686855296
4,18,        0.0000000000
4,19,        0.0000000000
4,20,        0.0000000000
4,21,        0.0000000000
4,22,        0.0000000000
4,23,        0.0000000000
4,24,       -0.0628057025
4,25,        0.0000000000
4,26,        0.0000000000
4,27,        0.0000000000
4,28,        0.0000000000
4,29,       -0.5578633186
4,30,        0.0000000000
4,31,        0.0000000000
4,32,       -0.2173766290
4,33,        0.0000000000
4,34,        0.0000000000
4,35,        0.0000000000
4,36,        0.0000000000
4,37,        0.0000000000
4,38,        0.0000000000
4,39,        1.1701309398
4,40,        0.0000000000
4,41,        0.0000000000
4,42,       -0.0446063524
4,43,        0.0000000000
4,44,        0.0000000000
4,45,        0.0000000000
4,46,        0.0000000000
4,47,        0.0000000000
4,48,        0.0000000000
4,49,        0.8171701431
4,50,        0.0000000000
5,1,        0.0000000000
5,2,        0.0000000000
5,3,        0.0000000000
5,4,        0.0000000000
5,5,      -10.4268066334
5,6,        0.0000000000
5,7,        0.0000000000
5,8,       -4.5473982201
5,9,        0.0000000000
5,10,        0.0000000000
5,11,        0.0000000000
5,12,        0.0000000000
5,13,        0.0000000000
5,14,        0.0000000000
5,15,       -0.1129807127
5,16,        0.0000000000
5,17,        0.0000000000
5,18,       -1.1686855296
5,19,        0.0000000000
5,20,        0.0000000000
5,21,        0.0000000000
5,22,        0.0000000000
5,23,        0.0000000000
5,24,        0.0000000000
5,25,       -0.0628057025
5,26,        0.0000000000
5,27,        0.0000000000
5,28,        0.0000000000
5,29,        0.0000000000
5,30,       -0.5578633186
5,31,        0.0000000000
5,32,        0.0000000000
5,33,       -0.2173766290
5,34,        0.0000000000
5,35,        0.0000000000
5,36,        0.0000000000
5,37,        0.0000000000
5,38,        0.0000000000
5,39,        0.0000000000
5,40,        1.1701309398
5,41,        0.0000000000
5,42,        0.0000000000
5,43,       -0.0446063524
5,44,        0.0000000000
5,45,        0.0000000000
5,46,        0.0000000000
5,47,        0.0000000000
5,48,        0.0000000000
5,49,        0.0000000000
5,50,        0.8171701431
6,1,       -0.0244637968
6,2,       -0.1333735113
6,3,       -0.1429503081
6,4,        0.0000000000
6,5,        0.0000000000
6,6,      -10.4703867908
6,7,        0.0000000000
6,8,        0.0000000000
6,9,       -4.5915523860
6,10,       -0.0652294449
6,11,       -0.0652294449
6,12,       -0.2135069406
6,13,        0.0000000000
6,14,        0.0000000000
6,15,        0.0000000000
6,16,       -0.0778522396
6,17,        0.0000000000
6,18,        0.0000000000
6,19,       -1.1821929641
6,20,       -0.0362608892
6,21,       -0.0362608892
6,22,       -0.1265047439
6,23,        0.0000000000
6,24,        0.0000000000
6,25,        0.0000000000
6,26,       -0.1405337049
6,27,       -0.3981318585
6,28,       -0.1552647782
6,29,        0.0000000000
6,30,        0.0000000000
6,31,        0.5253468796
6,32,        0.0000000000
6,33,        0.0000000000
6,34,       -0.1044123284
6,35,       -0.0597578224
6,36,       -0.0597578224
6,37,       -0.0535396578
6,38,        0.0000000000
6,39,        0.0000000000
6,40,        0.0000000000
6,41,       -0.0333887084
6,42,        0.0000000000
6,43,        0.0000000000
6,44,       -0.0357922228
6,45,       -0.0275283818
6,46,       -0.0275283818
6,47,        0.2840241832
6,48,        0.0000000000
6,49,        0.0000000000
6,50,        0.0000000000
7,1,        0.0000000000
7,2,        0.0000000000
7,3,        0.0000000000
7,4,       -4.5473982201
7,5,        0.0000000000
7,6,        0.0000000000
7,7,       -5.6931860305
7,8,        0.0000000000
7,9,        0.0000000000
7,10,        0.0000000000
