i,j,val
1,1,     -106.9223331503
1,2,        0.1598575359
1,3,        0.1697392576
1,4,        0.0170894222
1,5,        0.0179598159
1,6,       -0.1598575359
1,7,       -0.2051977757
1,8,       -0.1526498354
1,11,        0.0170894222
1,12,        0.1697392576
1,13,        0.0179598159
1,19,       -0.0108908086
1,20,       -0.0133275094
1,21,       -0.0103028208
1,24,        0.0133275094
1,29,        0.0103028208
1,38,        0.0013246859
1,39,        0.0013246859
1,40,        0.0015600549
2,1,        0.1598575359
2,2,     -105.7007201047
2,3,        0.0287574674
2,4,       -0.0203576318
2,5,       -0.0209035693
2,6,       -0.2450830159
2,7,       -0.0571788932
2,8,       -0.0205899056
2,9,       -0.2540314043
2,11,        0.0079352880
2,14,        0.1697392576
2,15,        0.0179598159
2,19,       -0.0160393020
2,20,       -0.0042953018
2,21,        0.0016811827
2,22,       -0.0166933721
2,25,        0.0108818658
2,26,        0.0076946411
2,31,        0.0103028208
2,38,       -0.0032181125
2,41,        0.0013246859
2,42,        0.0015600549
3,1,        0.1697392576
3,2,        0.0287574674
3,3,     -104.7198435486
3,4,        0.0422900805
3,5,        0.0431676863
3,7,       -0.2347975232
3,8,       -0.0834847922
3,9,        0.0402308821
3,11,        0.0235344901
3,16,        0.1697392576
3,17,        0.0179598159
3,20,       -0.0155862592
3,21,       -0.0050824112
3,22,        0.0051323102
3,28,        0.0133275094
3,32,        0.0103028208
3,38,        0.0076035352
3,43,        0.0013246859
3,44,        0.0015600549
4,1,        0.0170894222
4,2,       -0.0203576318
4,3,        0.0422900805
4,4,     -104.8168407355
4,5,        0.0431676863
4,6,       -0.0079352880
4,7,        0.0295997475
4,8,        0.0349861988
4,9,       -0.0203576318
4,10,        0.0209035693
4,12,        0.0235344901
4,14,       -0.0079352880
4,16,        0.0170894222
4,18,        0.0179598159
4,23,        0.0051323102
4,39,        0.0076035352
4,41,        0.0032181125
4,43,        0.0013246859
4,45,        0.0015600549
5,1,        0.0179598159
5,2,       -0.0209035693
5,3,        0.0431676863
5,4,        0.0431676863
5,5,     -104.7765289482
5,10,       -0.0472202882
5,13,        0.0235344901
5,15,       -0.0079352880
5,17,        0.0170894222
5,18,        0.1697392576
5,19,        0.0029591397
5,20,        0.0022587498
5,21,        0.0026122299
5,22,       -0.0012019366
5,23,       -0.0012019366
5,40,        0.0076035352
5,42,        0.0032181125
5,44,        0.0013246859
5,45,        0.0013246859
6,1,       -0.1598575359
6,2,       -0.2450830159
6,4,       -0.0079352880
6,6,     -105.7007201046
6,7,        0.0571788932
6,8,        0.0205899056
6,9,        0.1697392576
6,10,       -0.0179598159
6,11,        0.0203576318
6,12,       -0.0287574674
6,13,        0.0209035693
6,14,       -0.2540314043
6,19,        0.0160393020
6,24,       -0.0042953018
6,25,       -0.0108818658
6,26,       -0.0096507759
6,27,        0.0011293749
6,29,        0.0016811827
6,30,        0.0011293749
6,31,       -0.0083466860
6,34,        0.0166933721
6,39,        0.0032181125
6,46,       -0.0013246859
6,47,        0.0015600549
7,1,       -0.2051977757
7,2,       -0.0571788932
7,3,       -0.2347975232
7,4,        0.0295997475
7,6,        0.0571788932
7,7,     -104.5921584940
7,8,        0.2643972707
7,9,       -0.0671151618
7,10,        0.0181030220
7,11,        0.0295997475
7,12,       -0.2347975232
7,14,        0.0671151618
7,15,        0.0181030220
7,16,       -0.2051977757
7,20,        0.0115399366
7,21,        0.0077931296
7,24,       -0.0115399366
7,25,        0.0007930091
7,26,        0.0019419844
7,27,       -0.0033636157
7,28,       -0.0128460515
7,29,       -0.0077931296
7,30,       -0.0033636157
7,31,        0.0058259533
7,32,       -0.0066637547
7,35,        0.0128460515
7,36,        0.0066637547
7,41,        0.0027869672
7,46,        0.0027869672
7,48,        0.0015600549
8,1,       -0.1526498354
8,2,       -0.0205899056
8,3,       -0.0834847922
8,4,        0.0349861988
8,6,        0.0205899056
8,7,        0.2643972707
8,8,     -104.8341667125
8,9,       -0.0263266130
8,10,        0.0104517846
8,11,        0.0349861988
8,12,       -0.0834847922
8,14,        0.0263266130
8,15,        0.0104517846
8,16,       -0.1526498354
8,20,        0.0077931296
8,21,        0.0025412056
8,24,       -0.0077931296
8,26,        0.0038492327
8,27,        0.0022223555
8,28,       -0.0066637547
8,29,       -0.0025412056
8,30,        0.0022223555
8,31,        0.0012830776
8,32,       -0.0051514104
8,35,        0.0066637547
8,36,        0.0051514104
8,41,        0.0016090563
8,46,        0.0016090563
8,49,        0.0015600549
9,2,       -0.2540314043
9,3,        0.0402308821
9,4,       -0.0203576318
9,6,        0.1697392576
9,7,       -0.0671151618
9,8,       -0.0263266130
9,9,     -103.3873879760
9,10,       -0.0431676863
9,11,        0.0079352880
9,14,       -0.2450830159
9,16,        0.1713309506
9,17,        0.0209035693
9,22,        0.0160393020
9,25,       -0.0127261273
9,26,       -0.0060614912
9,27,       -0.0016958162
9,28,        0.0095811261
9,30,       -0.0016958162
9,31,       -0.0080196510
9,32,        0.0096927421
9,37,        0.0166933721
9,43,        0.0032181125
9,46,       -0.0076035352
9,50,        0.0015600549
10,4,        0.0209035693
10,5,       -0.0472202882
10,6,       -0.0179598159
10,7,        0.0181030220
10,8,        0.0104517846
10,9,       -0.0431676863
10,10,     -103.4405382847
10,13,       -0.0079352880
10,15,        0.0431272327
10,17,       -0.0203576318
10,18,       -0.1783203566
10,23,       -0.0032622497
10,24,       -0.0025626902
10,25,       -0.0018442615
10,26,       -0.0022851949
10,27,        0.0005664413
10,28,        0.0010409077
10,29,       -0.0014795698
10,30,        0.0005664413
10,31,       -0.0016311248
10,32,        0.0006009683
10,45,       -0.0032181125
10,47,       -0.0076035352
10,48,       -0.0027869672
10,49,       -0.0016090563
10,50,       -0.0013246859
11,1,        0.0170894222
11,2,        0.0079352880
11,3,        0.0235344901
11,6,        0.0203576318
11,7,        0.0295997475
11,8,        0.0349861988
11,9,        0.0079352880
11,11,     -104.8168407353
11,12,        0.0422900805
11,13,        0.0431676863
11,14,        0.0203576318
11,15,        0.0209035693
11,16,        0.0170894222
11,17,        0.0179598159
11,33,        0.0051323102
11,38,        0.0076035352
11,46,        0.0032181125
11,51,        0.0013246859
11,52,        0.0015600549
12,1,        0.1697392576
12,4,        0.0235344901
12,6,       -0.0287574674
12,7,       -0.2347975232
12,8,       -0.0834847922
12,11,        0.0422900805
12,12,     -104.7198435484
12,13,        0.0431676863
12,14,       -0.0402308821
12,16,        0.1697392576
12,18,        0.0179598159
12,24,        0.0155862592
12,29,        0.0050824112
12,34,        0.0051323102
12,35,       -0.0133275094
12,36,       -0.0103028208
12,39,        0.0076035352
12,51,        0.0013246859
12,53,        0.0015600549
13,1,        0.0179598159
13,5,        0.0235344901
13,6,        0.0209035693
13,10,       -0.0079352880
13,11,        0.0431676863
13,12,        0.0431676863
13,13,     -104.7765289480
13,15,       -0.0472202882
13,17,        0.1697392576
13,18,        0.0170894222
13,19,        0.0029591397
13,24,       -0.0022587498
13,29,       -0.0026122299
13,33,       -0.0012019366
13,34,       -0.0012019366
13,40,        0.0076035352
13,47,       -0.0032181125
13,52,        0.0013246859
13,53,        0.0013246859
14,2,        0.1697392576
14,4,       -0.0079352880
14,6,       -0.2540314043
14,7,        0.0671151618
14,8,        0.0263266130
14,9,       -0.2450830159
14,11,        0.0203576318
14,12,       -0.0402308821
14,14,     -103.3873879759
14,15,        0.0431676863
14,16,       -0.1713309506
14,18,       -0.0209035693
14,25,        0.0127261273
14,26,        0.0089987309
14,31,        0.0050824112
14,34,       -0.0160393020
14,35,        0.0095811261
14,36,        0.0096927421
14,37,       -0.0166933721
14,41,        0.0076035352
14,51,       -0.0032181125
14,54,        0.0015600549
15,2,        0.0179598159
15,5,       -0.0079352880
15,7,        0.0181030220
15,8,        0.0104517846
15,10,        0.0431272327
15,11,        0.0209035693
15,13,       -0.0472202882
15,14,        0.0431676863
15,15,     -103.4405382847
15,17,       -0.1783203566
15,18,       -0.0203576318
15,20,        0.0025626902
15,21,        0.0014795698
15,25,       -0.0018442615
15,26,       -0.0013040898
15,31,       -0.0026122299
15,33,       -0.0032622497
15,35,       -0.0010409077
15,36,       -0.0006009683
15,42,        0.0076035352
15,48,       -0.0027869672
15,49,       -0.0016090563
15,52,       -0.0032181125
15,54,        0.0013246859
16,3,        0.1697392576
16,4,        0.0170894222
16,7,       -0.2051977757
16,8,       -0.1526498354
16,9,        0.1713309506
16,11,        0.0170894222
16,12,        0.1697392576
16,14,       -0.1713309506
16,16,     -102.2956688930
16,17,        0.0431676863
16,18,        0.0431676863
16,28,        0.0155862592
16,32,        0.0050824112
16,35,       -0.0155862592
16,36,       -0.0050824112
16,37,        0.0211554290
16,43,        0.0076035352
16,51,        0.0076035352
16,55,        0.0015600549
17,3,        0.0179598159
17,5,        0.0170894222
17,9,        0.0209035693
17,10,       -0.0203576318
17,11,        0.0179598159
17,13,        0.1697392576
17,15,       -0.1783203566
17,16,        0.0431676863
17,17,     -102.3452841108
17,18,        0.0422900805
