i,j,val
1,1,        1.0000000000
1,2,       -0.2121940470
1,3,        0.1954666421
1,4,        0.0000000000
1,5,        0.0000000000
1,6,        0.0000000000
1,7,        0.0000000000
1,8,        0.0000000000
1,9,        0.0000000000
1,10,        0.0777842619
1,11,        0.0777842619
1,12,        0.0777842619
1,13,        0.0000000000
1,14,        0.0000000000
1,15,        0.0000000000
1,16,        0.0739298840
1,17,        0.0000000000
1,18,        0.0000000000
1,19,        0.0000000000
1,20,        0.0141152690
1,21,        0.0141152690
1,22,        0.0141152690
1,23,        0.0000000000
1,24,        0.0000000000
1,25,        0.0000000000
1,26,        0.0009526333
1,27,        0.0328169791
1,28,        0.0227457846
1,29,        0.0000000000
1,30,        0.0000000000
1,31,       -0.0516310992
1,32,        0.0000000000
1,33,        0.0000000000
1,34,       -0.0194733164
1,35,        0.0005792618
1,36,        0.0005792618
1,37,        0.0693757957
1,38,        0.0000000000
1,39,        0.0000000000
1,40,        0.0000000000
1,41,        0.0112036882
1,42,        0.0000000000
1,43,        0.0000000000
1,44,       -0.0039060328
1,45,        0.0003895608
1,46,        0.0003895608
1,47,        0.0465806387
1,48,        0.0000000000
1,49,        0.0000000000
1,50,        0.0000000000
2,1,       -0.2121940470
2,2,        1.0000000000
2,3,        0.7060465925
2,4,        0.0000000000
2,5,        0.0000000000
2,6,        0.0000000000
2,7,        0.0000000000
2,8,        0.0000000000
2,9,        0.0000000000
2,10,        0.6418540280
2,11,        0.6418540280
2,12,        0.6418540280
2,13,        0.0000000000
2,14,        0.0000000000
2,15,        0.0000000000
2,16,        0.3471549144
2,17,        0.0000000000
2,18,        0.0000000000
2,19,        0.0000000000
2,20,        0.2630989253
2,21,        0.2630989253
2,22,        0.2630989253
2,23,        0.0000000000
2,24,        0.0000000000
2,25,        0.0000000000
2,26,        0.0094509030
2,27,        0.1590970156
2,28,        0.1151496849
2,29,        0.0000000000
2,30,        0.0000000000
2,31,       -0.2464645439
2,32,        0.0000000000
2,33,        0.0000000000
2,34,       -0.0972396112
2,35,        0.0153919123
2,36,        0.0153919123
2,37,        0.3092669626
2,38,        0.0000000000
2,39,        0.0000000000
2,40,        0.0000000000
2,41,        0.0576096007
2,42,        0.0000000000
2,43,        0.0000000000
2,44,       -0.0200574922
2,45,        0.0104905839
2,46,        0.0104905839
2,47,        0.2181595284
2,48,        0.0000000000
2,49,        0.0000000000
2,50,        0.0000000000
3,1,        0.1954666421
3,2,        0.7060465925
3,3,        1.0000000000
3,4,        0.0000000000
3,5,        0.0000000000
3,6,        0.0000000000
3,7,        0.0000000000
3,8,        0.0000000000
3,9,        0.0000000000
3,10,        0.6523178624
3,11,        0.6523178624
3,12,        0.6523178624
3,13,        0.0000000000
3,14,        0.0000000000
3,15,        0.0000000000
3,16,        0.7194977902
3,17,        0.0000000000
3,18,        0.0000000000
3,19,        0.0000000000
3,20,        0.6240299423
3,21,        0.6240299423
3,22,        0.6240299423
3,23,        0.0000000000
3,24,        0.0000000000
3,25,        0.0000000000
3,26,        0.0615824266
3,27,        0.3454242031
3,28,        0.2798283959
3,29,        0.0000000000
3,30,        0.0000000000
3,31,       -0.5098290089
3,32,        0.0000000000
3,33,        0.0000000000
3,34,       -0.2286412316
3,35,        0.0906446328
3,36,        0.0906446328
3,37,        0.5821844608
3,38,        0.0000000000
3,39,        0.0000000000
3,40,        0.0000000000
3,41,        0.1452989841
3,42,        0.0000000000
3,43,        0.0000000000
3,44,       -0.0504145055
3,45,        0.0654478768
3,46,        0.0654478768
3,47,        0.4518574593
3,48,        0.0000000000
3,49,        0.0000000000
3,50,        0.0000000000
4,1,        0.0000000000
4,2,        0.0000000000
4,3,        0.0000000000
4,4,        1.0000000000
4,5,        0.0000000000
4,6,        0.0000000000
4,7,        0.4903466028
4,8,        0.0000000000
4,9,        0.0000000000
4,10,        0.0000000000
4,11,        0.0000000000
4,12,        0.0000000000
4,13,        0.0000000000
4,14,        0.0000000000
4,15,        0.0000000000
4,16,        0.0000000000
4,17,        0.1245621251
4,18,        0.0000000000
4,19,        0.0000000000
4,20,        0.0000000000
4,21,        0.0000000000
4,22,        0.0000000000
4,23,        0.0000000000
4,24,        0.0000000000
4,25,        0.0000000000
4,26,        0.0000000000
4,27,        0.0000000000
4,28,        0.0000000000
4,29,        0.0588236384
4,30,        0.0000000000
4,31,        0.0000000000
4,32,        0.0229705137
4,33,        0.0000000000
4,34,        0.0000000000
4,35,        0.0000000000
4,36,        0.0000000000
4,37,        0.0000000000
4,38,        0.0000000000
4,39,       -0.1246992758
4,40,        0.0000000000
4,41,        0.0000000000
4,42,        0.0047089906
4,43,        0.0000000000
4,44,        0.0000000000
4,45,        0.0000000000
4,46,        0.0000000000
4,47,        0.0000000000
4,48,        0.0000000000
4,49,       -0.0870410898
4,50,        0.0000000000
5,1,        0.0000000000
5,2,        0.0000000000
5,3,        0.0000000000
5,4,        0.0000000000
5,5,        1.0000000000
5,6,        0.0000000000
5,7,        0.0000000000
5,8,        0.4903466028
5,9,        0.0000000000
5,10,        0.0000000000
5,11,        0.0000000000
5,12,        0.0000000000
5,13,        0.0000000000
5,14,        0.0000000000
5,15,        0.0000000000
5,16,        0.0000000000
5,17,        0.0000000000
5,18,        0.1245621251
5,19,        0.0000000000
5,20,        0.0000000000
