i,j,val
1,1,       37.2247144463
1,2,      -20.5207339587
1,3,        0.2174954051
1,4,        0.0000000000
1,5,        0.0000000000
1,6,        0.0000000000
1,7,        0.0000000000
1,8,        0.0000000000
1,9,        0.0000000000
1,10,       -1.0414047737
1,11,       -1.0414047737
1,12,       -1.0414047737
1,13,        0.0000000000
1,14,        0.0000000000
1,15,        0.0000000000
1,16,        0.0215629691
1,17,        0.0000000000
1,18,        0.0000000000
1,19,        0.0000000000
1,20,       -0.1933147840
1,21,       -0.1933147840
1,22,       -0.1933147840
1,23,        0.0000000000
1,24,        0.0000000000
1,25,        0.0000000000
1,26,       -0.0021195999
1,27,        0.0060544993
1,28,        0.0015864971
1,29,        0.0000000000
1,30,        0.0000000000
1,31,       -0.0117648386
1,32,        0.0000000000
1,33,        0.0000000000
1,34,       -0.0021302659
1,35,       -0.0075791435
1,36,       -0.0075791435
1,37,        0.0309336415
1,38,        0.0000000000
1,39,        0.0000000000
1,40,        0.0000000000
1,41,        0.0002737970
1,42,        0.0000000000
1,43,        0.0000000000
1,44,       -0.0001108129
1,45,       -0.0050846644
1,46,       -0.0050846644
1,47,        0.0139916367
1,48,        0.0000000000
1,49,        0.0000000000
1,50,        0.0000000000
2,1,      -20.5207339587
2,2,       13.4588307016
2,3,        0.6065367945
2,4,        0.0000000000
2,5,        0.0000000000
2,6,        0.0000000000
2,7,        0.0000000000
2,8,        0.0000000000
2,9,        0.0000000000
2,10,        1.4503954467
2,11,        1.4503954467
2,12,        1.4503954467
2,13,        0.0000000000
2,14,        0.0000000000
2,15,        0.0000000000
2,16,        0.0946606768
2,17,        0.0000000000
2,18,        0.0000000000
2,19,        0.0000000000
2,20,       -0.1088642232
2,21,       -0.1088642232
2,22,       -0.1088642232
2,23,        0.0000000000
2,24,        0.0000000000
2,25,        0.0000000000
2,26,       -0.0165271909
2,27,        0.0325611766
2,28,        0.0079084656
2,29,        0.0000000000
2,30,        0.0000000000
2,31,       -0.0611004464
2,32,        0.0000000000
2,33,        0.0000000000
2,34,       -0.0104785268
2,35,       -0.0308599124
2,36,       -0.0308599124
2,37,        0.1259136309
2,38,        0.0000000000
2,39,        0.0000000000
2,40,        0.0000000000
2,41,        0.0013999826
2,42,        0.0000000000
2,43,        0.0000000000
2,44,       -0.0005667950
2,45,       -0.0217997596
2,46,       -0.0217997596
2,47,        0.0606433981
2,48,        0.0000000000
2,49,        0.0000000000
2,50,        0.0000000000
3,1,        0.2174954051
3,2,        0.6065367945
3,3,        0.5845500000
3,4,        0.0000000000
3,5,        0.0000000000
3,6,        0.0000000000
