I,J,i,j,val
        15,        15,3,         3,        2.0000000000
        11,        11,3,         3,        1.0000000000
        12,        12,3,         3,        1.0000000000
        13,        13,3,         3,        1.0000000000
        14,        14,3,         3,        1.0000000000
        14,        14,4,         4,        1.0000000000
        10,        10,4,         4,        2.0000000000
        14,        15,4,         3,        1.4142135624
        10,        14,4,         3,        1.4142135624
         7,         7,4,         4,        1.0000000000
         8,         8,4,         4,        1.0000000000
         9,         9,4,         4,        1.0000000000
         7,        11,4,         3,        1.0000000000
         8,        12,4,         3,        1.0000000000
         9,        13,4,         3,        1.0000000000
        13,        13,5,         5,        1.0000000000
         9,         9,5,         5,        1.0000000000
         6,         6,5,         5,        2.0000000000
        13,        14,5,         4,        1.0000000000
         9,        10,5,         4,        1.4142135624
        13,        15,5,         3,        1.4142135624
         9,        14,5,         3,        1.0000000000
         6,         9,5,         4,        1.4142135624
         6,        13,5,         3,        1.4142135624
         4,         4,5,         5,        1.0000000000
         5,         5,5,         5,        1.0000000000
         4,         7,5,         4,        1.0000000000
         5,         8,5,         4,        1.0000000000
         4,        11,5,         3,        1.0000000000
         5,        12,5,         3,        1.0000000000
        12,        12,6,         6,        1.0000000000
         8,         8,6,         6,        1.0000000000
         5,         5,6,         6,        1.0000000000
         3,         3,6,         6,        2.0000000000
        12,        13,6,         5,        1.0000000000
         8,         9,6,         5,        1.0000000000
         5,         6,6,         5,        1.4142135624
        12,        14,6,         4,        1.0000000000
         8,        10,6,         4,        1.4142135624
        12,        15,6,         3,        1.4142135624
         8,        14,6,         3,        1.0000000000
         5,         9,6,         4,        1.0000000000
         5,        13,6,         3,        1.0000000000
         3,         5,6,         5,        1.4142135624
         3,         8,6,         4,        1.4142135624
         3,        12,6,         3,        1.4142135624
         2,         2,6,         6,        1.0000000000
         2,         4,6,         5,        1.0000000000
         2,         7,6,         4,        1.0000000000
         2,        11,6,         3,        1.0000000000
        11,        11,2,         2,        1.0000000000
         7,         7,2,         2,        1.0000000000
         4,         4,2,         2,        1.0000000000
         2,         2,2,         2,        1.0000000000
         1,         1,2,         2,        2.0000000000
        11,        12,2,         6,        1.0000000000
         7,         8,2,         6,        1.0000000000
         4,         5,2,         6,        1.0000000000
         2,         3,2,         6,        1.4142135624
        11,        13,2,         5,        1.0000000000
         7,         9,2,         5,        1.0000000000
         4,         6,2,         5,        1.4142135624
        11,        14,2,         4,        1.0000000000
         7,        10,2,         4,        1.4142135624
        11,        15,2,         3,        1.4142135624
         7,        14,2,         3,        1.0000000000
         4,         9,2,         4,        1.0000000000
         4,        13,2,         3,        1.0000000000
         2,         5,2,         5,        1.0000000000
         2,         8,2,         4,        1.0000000000
         2,        12,2,         3,        1.0000000000
         1,         2,2,         6,        1.4142135624
         1,         4,2,         5,        1.4142135624
         1,         7,2,         4,        1.4142135624
         1,        11,2,         3,        1.4142135624
