i,j,val
1,1,        0.9911310976
1,2,       -0.0563538615
2,1,        0.0005958780
2,2,        0.0259050582
3,1,       -0.0953512378
3,2,        0.0386272223
4,1,        0.0000000000
4,2,        0.0000000000
5,1,        0.0000000000
5,2,        0.0000000000
6,1,       -0.0344550276
6,2,       -0.0268378742
7,1,        0.0000000000
7,2,        0.0000000000
8,1,        0.0000000000
8,2,        0.0000000000
9,1,        0.0000000000
9,2,       -0.0000000000
10,1,       -0.0344550276
10,2,       -0.0268378742
11,1,        0.0426395402
11,2,        0.9617226395
12,1,        0.0622695659
12,2,        0.2138095185
13,1,        0.0000000000
13,2,       -0.0000000000
14,1,       -0.0000000000
14,2,       -0.0000000000
15,1,       -0.0222936480
15,2,       -0.1503183933
