i,j,val
1,1,       -7.8075767848
1,2,        0.0000000411
1,3,        0.1220533627
1,6,        0.0264927126
1,10,        0.0264927126
1,11,        0.0000001826
1,12,       -0.0423147823
1,15,        0.0097569231
2,1,        0.0000000411
2,2,       -7.0868909286
2,3,       -0.0010578546
2,6,       -0.0244695336
2,10,       -0.0244695336
2,11,       -0.0103146500
2,12,       -0.0259321981
2,15,        0.0077042997
3,1,        0.1220533627
3,2,       -0.0010578546
3,3,       -6.5657624305
3,6,        0.0165168725
3,10,        0.0165168725
3,11,       -0.0413989346
3,12,        0.0402778910
3,15,        0.0267665065
4,4,       -7.5741410674
4,5,       -0.1575821435
4,13,        0.0614725194
5,4,       -0.1575821435
5,5,       -6.9497126759
5,13,        0.0556235060
6,1,        0.0264927126
6,2,       -0.0244695336
6,3,        0.0165168725
6,6,       -7.1514192364
6,10,        0.0168691358
6,11,        0.0274048466
6,12,       -0.0183657070
6,15,        0.0420218569
7,7,       -7.5741410674
7,8,       -0.1575821435
7,14,        0.0614725194
8,7,       -0.1575821435
8,8,       -6.9497126759
8,14,        0.0556235060
9,9,       -7.1682883722
10,1,        0.0264927126
10,2,       -0.0244695336
10,3,        0.0165168725
10,6,        0.0168691358
10,10,       -7.1514192364
10,11,        0.0274048466
10,12,       -0.0183657070
10,15,        0.0420218569
11,1,        0.0000001826
11,2,       -0.0103146500
11,3,       -0.0413989346
11,6,        0.0274048466
11,10,        0.0274048466
11,11,       -7.6354862894
11,12,       -0.1413315138
11,15,        0.0579601839
12,1,       -0.0423147823
12,2,       -0.0259321981
12,3,        0.0402778910
12,6,       -0.0183657070
12,10,       -0.0183657070
12,11,       -0.1413315138
12,12,       -6.9587331574
12,15,        0.1491895902
13,4,        0.0614725194
13,5,        0.0556235060
13,13,       -7.1306913860
14,7,        0.0614725194
14,8,        0.0556235060
14,14,       -7.1306913860
15,1,        0.0097569231
15,2,        0.0077042997
15,3,        0.0267665065
15,6,        0.0420218569
15,10,        0.0420218569
15,11,        0.0579601839
15,12,        0.1491895902
15,15,       -7.1068659077
