I,J,i,j,val
        43,        43,3,         3,        2.0000000000
        44,        44,3,         3,        2.0000000000
        45,        45,3,         3,        2.0000000000
        29,        29,3,         3,        1.0000000000
        30,        30,3,         3,        1.0000000000
        31,        31,3,         3,        1.0000000000
        32,        32,3,         3,        1.0000000000
        33,        33,3,         3,        1.0000000000
        34,        34,3,         3,        1.0000000000
        35,        35,3,         3,        1.0000000000
        36,        36,3,         3,        1.0000000000
        37,        37,3,         3,        1.0000000000
        38,        38,3,         3,        1.0000000000
        39,        39,3,         3,        1.0000000000
        40,        40,3,         3,        1.0000000000
        41,        41,3,         3,        1.0000000000
        42,        42,3,         3,        1.0000000000
        40,        40,4,         4,        1.0000000000
        41,        41,4,         4,        1.0000000000
        42,        42,4,         4,        1.0000000000
        26,        26,4,         4,        2.0000000000
        27,        27,4,         4,        2.0000000000
        28,        28,4,         4,        2.0000000000
        40,        43,4,         3,        1.4142135624
        41,        44,4,         3,        1.4142135624
        42,        45,4,         3,        1.4142135624
        26,        40,4,         3,        1.4142135624
        27,        41,4,         3,        1.4142135624
        28,        42,4,         3,        1.4142135624
        39,        39,4,         4,        1.0000000000
        16,        16,4,         4,        1.0000000000
        17,        17,4,         4,        1.0000000000
        18,        18,4,         4,        1.0000000000
        19,        19,4,         4,        1.0000000000
        20,        20,4,         4,        1.0000000000
        21,        21,4,         4,        1.0000000000
        22,        22,4,         4,        1.0000000000
        23,        23,4,         4,        1.0000000000
        24,        24,4,         4,        1.0000000000
        25,        25,4,         4,        1.0000000000
        16,        29,4,         3,        1.0000000000
        17,        30,4,         3,        1.0000000000
        18,        31,4,         3,        1.0000000000
        19,        32,4,         3,        1.0000000000
        20,        33,4,         3,        1.0000000000
        21,        34,4,         3,        1.0000000000
        22,        35,4,         3,        1.0000000000
        23,        36,4,         3,        1.0000000000
        24,        37,4,         3,        1.0000000000
        25,        38,4,         3,        1.0000000000
        36,        36,5,         5,        1.0000000000
        37,        37,5,         5,        1.0000000000
        38,        38,5,         5,        1.0000000000
        23,        23,5,         5,        1.0000000000
        24,        24,5,         5,        1.0000000000
        25,        25,5,         5,        1.0000000000
        13,        13,5,         5,        2.0000000000
        14,        14,5,         5,        2.0000000000
        15,        15,5,         5,        2.0000000000
        36,        40,5,         4,        1.0000000000
        37,        41,5,         4,        1.0000000000
        38,        42,5,         4,        1.0000000000
        23,        26,5,         4,        1.4142135624
        24,        27,5,         4,        1.4142135624
        25,        28,5,         4,        1.4142135624
        36,        43,5,         3,        1.4142135624
        37,        44,5,         3,        1.4142135624
        38,        45,5,         3,        1.4142135624
        23,        40,5,         3,        1.0000000000
        24,        41,5,         3,        1.0000000000
        25,        42,5,         3,        1.0000000000
        13,        23,5,         4,        1.4142135624
        14,        24,5,         4,        1.4142135624
        15,        25,5,         4,        1.4142135624
        13,        36,5,         3,        1.4142135624
        14,        37,5,         3,        1.4142135624
        15,        38,5,         3,        1.4142135624
        35,        35,5,         5,        1.0000000000
        22,        22,5,         5,        1.0000000000
        35,        39,5,         4,        1.0000000000
        22,        39,5,         3,       -1.0000000000
         7,         7,5,         5,        1.0000000000
         8,         8,5,         5,        1.0000000000
         9,         9,5,         5,        1.0000000000
        10,        10,5,         5,        1.0000000000
        11,        11,5,         5,        1.0000000000
        12,        12,5,         5,        1.0000000000
         7,        16,5,         4,        1.0000000000
         8,        17,5,         4,        1.0000000000
         9,        18,5,         4,        1.0000000000
        10,        19,5,         4,        1.0000000000
        11,        20,5,         4,        1.0000000000
        12,        21,5,         4,        1.0000000000
         7,        29,5,         3,        1.0000000000
         8,        30,5,         3,        1.0000000000
         9,        31,5,         3,        1.0000000000
        10,        32,5,         3,        1.0000000000
        11,        33,5,         3,        1.0000000000
        12,        34,5,         3,        1.0000000000
        32,        32,6,         6,        1.0000000000
        33,        33,6,         6,        1.0000000000
        34,        34,6,         6,        1.0000000000
        19,        19,6,         6,        1.0000000000
        20,        20,6,         6,        1.0000000000
        21,        21,6,         6,        1.0000000000
        10,        10,6,         6,        1.0000000000
        11,        11,6,         6,        1.0000000000
        12,        12,6,         6,        1.0000000000
         4,         4,6,         6,        2.0000000000
         5,         5,6,         6,        2.0000000000
         6,         6,6,         6,        2.0000000000
        32,        36,6,         5,        1.0000000000
        33,        37,6,         5,        1.0000000000
        34,        38,6,         5,        1.0000000000
        19,        23,6,         5,        1.0000000000
        20,        24,6,         5,        1.0000000000
        21,        25,6,         5,        1.0000000000
        10,        13,6,         5,        1.4142135624
        11,        14,6,         5,        1.4142135624
        12,        15,6,         5,        1.4142135624
        32,        40,6,         4,        1.0000000000
        33,        41,6,         4,        1.0000000000
        34,        42,6,         4,        1.0000000000
        19,        26,6,         4,        1.4142135624
        20,        27,6,         4,        1.4142135624
        21,        28,6,         4,        1.4142135624
        32,        43,6,         3,        1.4142135624
        33,        44,6,         3,        1.4142135624
        34,        45,6,         3,        1.4142135624
        19,        40,6,         3,        1.0000000000
        20,        41,6,         3,        1.0000000000
        21,        42,6,         3,        1.0000000000
        10,        23,6,         4,        1.0000000000
        11,        24,6,         4,        1.0000000000
        12,        25,6,         4,        1.0000000000
        10,        36,6,         3,        1.0000000000
        11,        37,6,         3,        1.0000000000
        12,        38,6,         3,        1.0000000000
         4,        10,6,         5,        1.4142135624
         5,        11,6,         5,        1.4142135624
         6,        12,6,         5,        1.4142135624
         4,        19,6,         4,        1.4142135624
         5,        20,6,         4,        1.4142135624
         6,        21,6,         4,        1.4142135624
         4,        32,6,         3,        1.4142135624
         5,        33,6,         3,        1.4142135624
         6,        34,6,         3,        1.4142135624
        31,        31,6,         6,        1.0000000000
        18,        18,6,         6,        1.0000000000
         9,         9,6,         6,        1.0000000000
        31,        35,6,         5,        1.0000000000
        18,        22,6,         5,        1.0000000000
        31,        39,6,         4,        1.0000000000
        18,        39,6,         3,       -1.0000000000
         9,        22,6,         4,       -1.0000000000
         9,        35,6,         3,       -1.0000000000
         2,         2,6,         6,        1.0000000000
         3,         3,6,         6,        1.0000000000
         2,         7,6,         5,        1.0000000000
         3,         8,6,         5,        1.0000000000
         2,        16,6,         4,        1.0000000000
         3,        17,6,         4,        1.0000000000
         2,        29,6,         3,        1.0000000000
         3,        30,6,         3,        1.0000000000
        45,        45,2,         2,        2.0000000000
        42,        42,2,         2,        2.0000000000
        28,        28,2,         2,        2.0000000000
        38,        38,2,         2,        2.0000000000
        25,        25,2,         2,        2.0000000000
        15,        15,2,         2,        2.0000000000
        34,        34,2,         2,        2.0000000000
        21,        21,2,         2,        2.0000000000
        12,        12,2,         2,        2.0000000000
         6,         6,2,         2,        2.0000000000
        44,        44,2,         2,        1.0000000000
        41,        41,2,         2,        1.0000000000
        27,        27,2,         2,        1.0000000000
        37,        37,2,         2,        1.0000000000
        24,        24,2,         2,        1.0000000000
        14,        14,2,         2,        1.0000000000
        33,        33,2,         2,        1.0000000000
        20,        20,2,         2,        1.0000000000
        11,        11,2,         2,        1.0000000000
         5,         5,2,         2,        1.0000000000
        39,        39,2,         2,        1.0000000000
        35,        35,2,         2,        1.0000000000
        22,        22,2,         2,        1.0000000000
        31,        31,2,         2,        1.0000000000
        18,        18,2,         2,        1.0000000000
         9,         9,2,         2,        1.0000000000
        30,        30,2,         2,        2.0000000000
        17,        17,2,         2,        2.0000000000
         8,         8,2,         2,        2.0000000000
         3,         3,2,         2,        2.0000000000
        30,        33,2,         6,        0.7071067812
        17,        20,2,         6,        0.7071067812
         8,        11,2,         6,        0.7071067812
         3,         5,2,         6,        1.0000000000
        30,        37,2,         5,        0.7071067812
        17,        24,2,         5,        0.7071067812
         8,        14,2,         5,        1.0000000000
        30,        41,2,         4,        0.7071067812
        17,        27,2,         4,        1.0000000000
        30,        44,2,         3,        1.0000000000
        17,        41,2,         3,        0.7071067812
         8,        24,2,         4,        0.7071067812
         8,        37,2,         3,        0.7071067812
         3,        11,2,         5,        0.7071067812
         3,        20,2,         4,        0.7071067812
         3,        33,2,         3,        0.7071067812
        30,        31,2,         6,        1.2247448714
        17,        18,2,         6,        1.2247448714
         8,         9,2,         6,        1.2247448714
        30,        35,2,         5,        1.2247448714
        17,        22,2,         5,        1.2247448714
        30,        39,2,         4,        1.2247448714
        17,        39,2,         3,       -1.2247448714
         8,        22,2,         4,       -1.2247448714
         8,        35,2,         3,       -1.2247448714
         3,         9,2,         5,       -1.2247448714
         3,        18,2,         4,       -1.2247448714
         3,        31,2,         3,       -1.2247448714
        29,        29,2,         2,        1.0000000000
        16,        16,2,         2,        1.0000000000
         7,         7,2,         2,        1.0000000000
         2,         2,2,         2,        1.0000000000
         1,         1,2,         2,        2.0000000000
        29,        32,2,         6,        1.0000000000
        16,        19,2,         6,        1.0000000000
         7,        10,2,         6,        1.0000000000
         2,         4,2,         6,        1.4142135624
        29,        36,2,         5,        1.0000000000
        16,        23,2,         5,        1.0000000000
         7,        13,2,         5,        1.4142135624
        29,        40,2,         4,        1.0000000000
        16,        26,2,         4,        1.4142135624
        29,        43,2,         3,        1.4142135624
        16,        40,2,         3,        1.0000000000
