i,j,val
1,1,        0.9910929493
1,2,       -0.0565931895
2,1,        0.0004398912
2,2,        0.0257653136
3,1,       -0.0005572226
3,2,       -0.0017570700
4,1,       -0.0953166107
4,2,        0.0386417116
5,1,       -0.0030877701
5,2,       -0.0008926290
6,1,       -0.0003171420
6,2,       -0.0001392306
7,1,       -0.0000000000
7,2,       -0.0000000000
8,1,       -0.0000000000
8,2,        0.0000000000
9,1,       -0.0000000000
9,2,       -0.0000000000
10,1,       -0.0000000000
10,2,       -0.0000000000
11,1,       -0.0000000000
11,2,       -0.0000000000
12,1,        0.0000000000
12,2,        0.0000000000
13,1,       -0.0341002310
13,2,       -0.0266478078
14,1,       -0.0042262975
14,2,       -0.0031457328
15,1,       -0.0017465882
15,2,        0.0001079676
16,1,       -0.0000000000
16,2,       -0.0000000000
17,1,       -0.0000000000
17,2,        0.0000000000
18,1,       -0.0000000000
18,2,       -0.0000000000
19,1,       -0.0000000000
19,2,       -0.0000000000
20,1,       -0.0000000000
20,2,       -0.0000000000
21,1,        0.0000000000
21,2,       -0.0000000000
22,1,       -0.0000000000
22,2,        0.0000000000
23,1,       -0.0000000000
23,2,        0.0000000000
24,1,        0.0000000000
24,2,       -0.0000000000
25,1,        0.0000000000
25,2,       -0.0000000000
26,1,       -0.0341002310
26,2,       -0.0266478078
27,1,       -0.0042262975
27,2,       -0.0031457328
28,1,       -0.0017465882
28,2,        0.0001079676
29,1,        0.0429152017
29,2,        0.9618589624
30,1,        0.0006809242
30,2,       -0.0063568098
31,1,        0.0040312623
31,2,        0.0033458982
32,1,        0.0623309118
32,2,        0.2135311162
33,1,        0.0039659113
33,2,       -0.0001844784
34,1,       -0.0017139054
34,2,       -0.0000668547
35,1,       -0.0000000000
35,2,       -0.0000000000
36,1,        0.0000000000
36,2,        0.0000000000
37,1,        0.0000000000
37,2,        0.0000000000
38,1,       -0.0000000000
38,2,        0.0000000000
39,1,        0.0000000000
39,2,        0.0000000000
40,1,       -0.0000000000
40,2,        0.0000000000
41,1,       -0.0000000000
41,2,       -0.0000000000
42,1,        0.0000000000
42,2,       -0.0000000000
43,1,       -0.0222966732
43,2,       -0.1491893186
44,1,       -0.0006011929
44,2,       -0.0099796410
45,1,       -0.0034862614
45,2,        0.0043998376
