i,j,val
1,1,       -1.8839348114
1,2,       -0.8967663853
1,3,       -1.0482471196
1,4,        1.0190107994
1,5,        0.1890323094
1,6,        0.0000000000
2,1,       -0.8967663853
2,2,       -4.8886675243
2,3,       -1.1003856377
2,4,        0.0327566858
2,5,        0.0060765519
2,6,        0.0000000000
3,1,       -1.0482471196
3,2,       -1.1003856377
3,3,       -1.4515123228
3,4,        0.1383923572
3,5,        0.0256725708
3,6,        0.0000000000
4,1,        1.0190107994
4,2,        0.0327566858
4,3,        0.1383923572
4,4,       -1.2930780863
4,5,       -0.0195919230
4,6,        0.0000000000
5,1,        0.1890323094
5,2,        0.0060765519
5,3,        0.0256725708
5,4,       -0.0195919230
5,5,       -1.1910989082
5,6,        0.0000000000
6,1,        0.0000000000
6,2,        0.0000000000
6,3,        0.0000000000
6,4,        0.0000000000
6,5,        0.0000000000
6,6,       -1.1874644948
