i,j,val
1,1,       -7.8075767848
1,2,        0.0000000411
1,3,       -0.0000000097
1,4,        0.1220533627
1,5,        0.0086900933
1,6,        0.0038347691
1,13,        0.0264927126
1,14,        0.0114791316
1,15,        0.0098588469
1,26,        0.0264927126
1,27,        0.0114791316
1,28,        0.0098588469
1,29,        0.0000001826
1,30,       -0.0000000159
1,31,       -0.0124516598
1,32,       -0.0423147823
1,33,       -0.0123538970
1,34,        0.0094056125
1,43,        0.0097569231
1,44,        0.0007040705
1,45,        0.0201669814
2,1,        0.0000000411
2,2,       -7.0868909286
2,3,       -0.0001991843
2,4,       -0.0010578546
2,5,       -0.0073356703
2,6,       -0.0056288204
2,13,       -0.0244695336
2,14,       -0.0043816482
2,26,       -0.0244695336
2,27,       -0.0043816482
2,29,       -0.0103146500
2,30,       -0.0104975093
2,31,        0.0040817373
2,32,       -0.0259321981
2,33,        0.0115669823
2,34,       -0.0133821788
2,43,        0.0077042997
2,44,        0.0049916409
3,1,       -0.0000000097
3,2,       -0.0001991843
3,3,       -5.1915786444
3,4,       -0.0162909824
3,5,        0.0935850722
3,6,        0.0628967564
3,14,       -0.0173025731
3,15,       -0.0061965864
3,27,       -0.0173025731
3,28,       -0.0061965864
3,29,        0.0038804290
3,30,       -0.0064400574
3,31,       -0.0015524592
3,32,        0.0058240690
3,33,       -0.0594278807
3,34,        0.1166748928
3,44,        0.0054477626
3,45,        0.0070592463
4,1,        0.1220533627
4,2,       -0.0010578546
4,3,       -0.0162909824
4,4,       -6.5657624305
4,5,       -0.0078045658
4,6,        0.0264484910
4,13,        0.0165168725
4,26,        0.0165168725
4,29,       -0.0413989346
4,31,       -0.0169246185
4,32,        0.0402778910
4,33,        0.0083192805
4,43,        0.0267665065
5,1,        0.0086900933
5,2,       -0.0073356703
5,3,        0.0935850722
5,4,       -0.0078045658
5,5,       -4.5086561910
5,6,       -0.2405020414
5,14,        0.0165168725
5,27,        0.0165168725
5,29,        0.0006886603
5,30,       -0.0292734674
5,31,        0.0447911758
5,32,        0.0155082496
5,33,       -0.0318231997
5,34,        0.0083192805
5,44,        0.0267665065
6,1,        0.0038347691
6,2,       -0.0056288204
6,3,        0.0628967564
