i,j,val
1,1,        0.7600318799
1,2,        0.0048625828
1,3,        0.0760409754
1,4,       -0.2085345374
1,5,       -0.0386843449
1,6,        0.0000000000
2,1,        0.0048625828
2,2,        3.5767863463
2,3,       -0.0202374353
2,4,        0.0000000000
2,5,       -0.0000000000
2,6,        0.0000000000
3,1,        0.0760409754
3,2,       -0.0202374353
3,3,        0.1021633299
3,4,        0.0000000000
3,5,        0.0000000000
3,6,        0.0000000000
4,1,       -0.2085345374
4,2,        0.0000000000
4,3,        0.0000000000
4,4,        0.3196815772
4,5,        0.0000000000
4,6,        0.0000000000
5,1,       -0.0386843449
5,2,       -0.0000000000
5,3,        0.0000000000
5,4,        0.0000000000
5,5,        0.3196815772
5,6,        0.0000000000
6,1,        0.0000000000
6,2,        0.0000000000
6,3,        0.0000000000
6,4,        0.0000000000
6,5,        0.0000000000
6,6,        0.3196815772
